Date,Distance (mi),Distance (km)
2021/5/7,8.71,14.0173514
2021/5/8,3.27,5.2625418
2021/5/9,7.26,11.6838084
2021/5/10,6.45,10.380243
2021/5/11,4.62,7.4351508
2021/5/12,0,0
2021/5/13,6.69,10.7664846
2021/5/14,8.59,13.8242306
2021/5/15,6.11,9.8330674
2021/5/16,6.29,10.1227486
2021/5/17,7.35,11.828649
2021/5/18,6.22,10.0100948
2021/5/19,0,0
2021/5/20,4.14,6.6626676
2021/5/21,6.59,10.6055506
2021/5/22,5.15,8.288101
2021/5/23,6.16,9.9135344
2021/5/24,6.87,11.0561658
2021/5/25,6.26,10.0744684
2021/5/26,7.28,11.7159952
2021/5/27,6.22,10.0100948
2021/5/28,6.33,10.1871222
2021/5/29,0,0
2021/5/30,6.02,9.6882268
2021/5/31,6.27,10.0905618
2021/6/1,0,0
2021/6/2,6.24,10.0422816
2021/6/3,5.24,8.4329416
2021/6/4,5.2,8.368568
2021/6/5,8.47,13.6311098